※あいさつや、関係ない話はばっさりカットしています
[Sat Dec 12 21:31:05 2009] #mikunopop: s_o_l           : あらためて
[Sat Dec 12 21:57:07 2009] #mikunopop: s_o_l           : まあ単純に、テンプレートで制限って書いてるのが、ちょっと陳腐化しちゃったんでどうなんだろう、くらいの質問だったんですけどね。
[Sat Dec 12 21:57:09 2009] #mikunopop: A_ster          : 夜とかリクの多い時間帯は特に
[Sat Dec 12 21:57:21 2009] #mikunopop: boro_           : part番号が奇数か偶数かで別けるとか
[Sat Dec 12 21:58:05 2009] #mikunopop: saihane         : 半年前にもかなり大きな議論になりました、けっこう（前までは）影響の大きい話だったんですよ＞SOLさん
[Sat Dec 12 21:59:04 2009] #mikunopop: Q-iron          : 生放送始まってから１年　ずっと未解決のテーマですね
[Sat Dec 12 21:59:05 2009] #mikunopop: s_o_l           : うーん。ランキング対策ってのが無意味になっちゃったっていうことなんですけどね。
[Sat Dec 12 21:59:23 2009] #mikunopop: saihane         : 元の話としては、「ランキングに影響があると、元の動画うｐ主に迷惑がかかるから」という論理だったと記憶しています
[Sat Dec 12 21:59:52 2009] #mikunopop: boro_           : 今までの話では、ここにいる全員が新着制限不要という認識っていう事で良いんですよね？
[Sat Dec 12 22:00:05 2009] #mikunopop: saihane         : つまり、ランキングそのものは問題じゃなく、元動画に荒し的なひとの影響があるのを防ぐのが主目的だったはずです
[Sat Dec 12 22:00:40 2009] #mikunopop: A_ster          : 今は公式がそれを堂々とやっちゃってますからねｗ
[Sat Dec 12 22:01:05 2009] #mikunopop: s_o_l           : 僕は荒らされたんで遺憾に思ってるわけですがｗ
[Sat Dec 12 22:01:14 2009] #mikunopop: saihane         : ですねｗ　つまり、元になる原因が解消（？）されたわけですから、理論的に言うと、制限する理由はなくなったと考えられます
[Sat Dec 12 22:01:33 2009] #mikunopop: boro_           : ですね
[Sat Dec 12 22:01:40 2009] #mikunopop: s_o_l           : この前アップしたのが世界の新着にかかって荒らされたんで…
[Sat Dec 12 22:02:44 2009] #mikunopop: saihane         : でもそれは、ランキング絡みではないので、今回の埒外かと・・（まぁあれはどうかと思いますけどね・・）
[Sat Dec 12 22:02:55 2009] #mikunopop: boro_           : ユーザー生放送で再生されたからピックアップされる再生数を稼げたんじゃないか？っていう意識が荒らしの動機だとするならばピックアップの基準が変わった時点でそれは解消ですよね
[Sat Dec 12 22:03:39 2009] #mikunopop: s_o_l           : ようは、生放送で新曲を流すことが、元動画を作った人の意図によって工作的に流されてると思われるから荒らされるってことですよね？
[Sat Dec 12 22:04:24 2009] #mikunopop: boro_           : ですね。
[Sat Dec 12 22:04:25 2009] #mikunopop: saihane         : ちょっと違います。「善意の第三者が、荒らしている自覚なく、結果的に荒らしている」のが問題だったような。
[Sat Dec 12 22:04:26 2009] #mikunopop: A_ster          : 動画を作った人本人ならいいんですそのための自貼りですから
[Sat Dec 12 22:04:27 2009] #mikunopop: boro_           : ！
[Sat Dec 12 22:04:38 2009] #mikunopop: boro_           : そうですねｗ
[Sat Dec 12 22:05:04 2009] #mikunopop: boro_           : 元動画を作った以外の人によってですねｗ
[Sat Dec 12 22:05:41 2009] #mikunopop: saihane         : 「これだと荒れるじゃないか！」と言っているひとが荒らしになっちゃってた、と聞いています。
[Sat Dec 12 22:06:07 2009] #mikunopop: saihane         : 私はその例を見たことがないので、それ以上のことは伝聞でしか知りません。
[Sat Dec 12 22:06:11 2009] #mikunopop: boro_           : ピックアップの基準がブラックボックスな時点で批判のしようが無くなったと思うんですけど？
[Sat Dec 12 22:06:37 2009] #mikunopop: saihane         : そう、つまり、両面から解決（？）なのです＞ブラックボックス
[Sat Dec 12 22:07:06 2009] #mikunopop: A_ster          : 批判しようにも世界の新着の影響力が強すぎてもはや意味を持たないという
[Sat Dec 12 22:07:26 2009] #mikunopop: s_o_l           : まあ厳しいこと言うと、荒れるのは、実力以上に再生数とかマイリストが入ってる動画だと思うんですけどね。
[Sat Dec 12 22:07:45 2009] #mikunopop: saihane         : この理論の流れが正しそうであれば、残る論点は、まず「それ以外に、なにか制限していた理由があったのか」ですが・・
[Sat Dec 12 22:08:36 2009] #mikunopop: saihane         : （潜在的な荒しを防ぐための制限ですので、今回の議論には、制作物の質に言及すべきではないかと考えまする）
[Sat Dec 12 22:08:45 2009] #mikunopop: s_o_l           : それが素人目にわかっちゃうと荒れると思うんだ。それを助長するような生放送だとちょっと問題あるかなと思うわけで。
[Sat Dec 12 22:09:08 2009] #mikunopop: boro_           : あとは主目的で無いにしろ、さっきあげたリクの単調化（集中化？）でしょうね。
[Sat Dec 12 22:10:15 2009] #mikunopop: boro_           : （少なくとも他の放送に比べて質に関しては辛いと思います）
[Sat Dec 12 22:10:40 2009] #mikunopop: saihane         : それは直接新曲制限をする・しない理由と関係があるのかな・・？＞リク
[Sat Dec 12 22:10:58 2009] #mikunopop: boro_           : 直接は関係ないです。
[Sat Dec 12 22:11:23 2009] #mikunopop: s_o_l           : ただ、Ｐの立場からすると、日刊に引っかからなかったら、生に自貼り行くしかないわけで…。
[Sat Dec 12 22:11:44 2009] #mikunopop: saihane         : ？
[Sat Dec 12 22:12:16 2009] #mikunopop: s_o_l           : あ、世界の新着って全部流れるわけじゃないですよ。
[Sat Dec 12 22:13:54 2009] #mikunopop: kinuko_busy     : そうなんですか！？知らなかった・・・
[Sat Dec 12 22:14:09 2009] #mikunopop: saihane         : すみません、「それが素人目にわかっちゃうと荒れる」の部分がよく理解できないので、詳しく教えてもらっても良いですか？
[Sat Dec 12 22:14:38 2009] #mikunopop: saihane         : ああ、なぜかやたら再生数が多い動画があったら、それが理由で荒れるかもってこと、ですか
[Sat Dec 12 22:15:49 2009] #mikunopop: saihane         : だとすれば、それはどうみても生放送より運営（世界の新着）の影響が大きいので、どうしようもない、のかな？
[Sat Dec 12 22:16:50 2009] #mikunopop: s_o_l           : 素人目にわかる工作って再生数よりマイリスト数が多いってやつですね。複数アカウントでやるやつ。これは間違いなく荒れますね。
[Sat Dec 12 22:17:30 2009] #mikunopop: s_o_l           : で、こういう工作をやるのが本人じゃないってことがあるんですよ。
[Sat Dec 12 22:17:32 2009] #mikunopop: kinuko_busy     : 朝４時～５時にマイリス操作したらデイリーや毎時ランキングに載るあれのことでしょうか？
[Sat Dec 12 22:18:08 2009] #mikunopop: saihane         : いまの前提は、荒しそのものが問題ではなく、「荒しが来るよ、という善意の第三者が無自覚に荒らすことが新着制限の理由」です
[Sat Dec 12 22:18:28 2009] #mikunopop: saihane         : と、私は聞いています
[Sat Dec 12 22:19:16 2009] #mikunopop: s_o_l           : いや詳細はよくわからないです。でも前はよく見ましたね。再生数＜マイリストってやつ。
[Sat Dec 12 22:19:23 2009] #mikunopop: A_ster          : こと生放送に限って言えば、荒れるのを防ぎたいならば生放送拒否すればユーザー生でも流れないわけですし そこはPさん側の裁量なんじゃないですかね
[Sat Dec 12 22:20:24 2009] #mikunopop: s_o_l           : 個人的に思うのは、やっぱ
[Sat Dec 12 22:20:39 2009] #mikunopop: A_ster          : いままでは動画製作者の側に拒否権がなかったわけで
[Sat Dec 12 22:20:39 2009] #mikunopop: saihane         : その荒しと、本来問題になっていた荒しは、根本的に性質が違うという話じゃないんでしょうか。
[Sat Dec 12 22:21:45 2009] #mikunopop: s_o_l           : すみません。荒らしと生放送の関連はよくわからないので発言は控えます。
[Sat Dec 12 22:22:14 2009] #mikunopop: boro_           : 工作自体と懸念している荒らしは違うって言う事ですね。
[Sat Dec 12 22:22:36 2009] #mikunopop: saihane         : SOLさんの視点でいえば、本来、生放送と、元動画への荒しに直接の関連はなかった、というのが私の聞いている範囲での理解です
[Sat Dec 12 22:23:18 2009] #mikunopop: boro_           : 生放送が工作にあたるんじゃないか？という事を言う人がいるとPさんに迷惑がかからないか？という事を気にしていたと。
[Sat Dec 12 22:23:49 2009] #mikunopop: saihane         : で、そういうことを言う強硬派そのものが荒しっぽかった、と聞いています
[Sat Dec 12 22:24:39 2009] #mikunopop: saihane         : そういうひとたちを納得させるための新曲制限だった、と聞いているのですが、この理解は合ってますか？
[Sat Dec 12 22:25:22 2009] #mikunopop: k-sk            : トピ把握です～
[Sat Dec 12 22:25:22 2009] #mikunopop: boro_           : 生放送ばかり見ているものの主観ですが、既に生放送自体に慣れて来てこれを工作と見る人は既にいないんじゃないかな？と思います。
[Sat Dec 12 22:25:49 2009] #mikunopop: A_ster          : 少なくとも自分は同じように解釈してます＞さいはねさん
[Sat Dec 12 22:25:56 2009] #mikunopop: saihane         : おお、よかった。
[Sat Dec 12 22:26:37 2009] #mikunopop: kinuko_busy     : 途中から来た人がいるので（私を含め）今の流れをある程度まとめてもらえるとありがたく思います・・・無理でしょうか？
[Sat Dec 12 22:26:47 2009] #mikunopop: saihane         : 「そういう人たち」を納得させる必要もなくなったんですよね。
[Sat Dec 12 22:27:10 2009] #mikunopop: saihane         : では議長の boro さんがまとめてくださいますｗ
[Sat Dec 12 22:27:16 2009] #mikunopop: boro_           : ！
[Sat Dec 12 22:27:54 2009] #mikunopop: boro_           : solさんから、世界の新着動画の登場によって、日刊ピックアップ枠の基準が変わったため
[Sat Dec 12 22:27:59 2009] #mikunopop: s_o_l           : 最初は、世界の新着ができて、日刊ボカランのシステムが変わったんで、新曲制限が意味なくない？ってのが僕の問題提起です。
[Sat Dec 12 22:29:37 2009] #mikunopop: mashita         : そのコメントsolさんだったのね
[Sat Dec 12 22:29:51 2009] #mikunopop: s_o_l           : で、その後の荒らし対策による新曲制限というのは僕は知らなかったんで、ちょっと把握しかねます。
[Sat Dec 12 22:30:13 2009] #mikunopop: boro_           : で、ここに入るメンバーの心情としては新着制限撤廃には賛成だと。
[Sat Dec 12 22:30:40 2009] #mikunopop: boro_           : そこで元々なんで新着制限が必要だったかという確認をしていました。
[Sat Dec 12 22:31:19 2009] #mikunopop: k-sk            : そこで、はねさんの解釈につながるわけですね。
[Sat Dec 12 22:31:23 2009] #mikunopop: boro_           : です。
[Sat Dec 12 22:31:25 2009] #mikunopop: mashita         : ちょっと総合スレ見直してくる
[Sat Dec 12 22:31:30 2009] #mikunopop: k-sk            : 把握です、ありがとうございます。
[Sat Dec 12 22:31:38 2009] #mikunopop: kinuko_busy     : 把握しました。
[Sat Dec 12 22:32:19 2009] #mikunopop: saihane         : 新着制限撤廃に賛成反対という前に、そもそもの原因を知らないと、判断しようがないかなと。
[Sat Dec 12 22:32:24 2009] #mikunopop: boro_           : 元々が新しく始まった生放送というシステムへの反発を想定しての措置だったという事ですよね。
[Sat Dec 12 22:34:16 2009] #mikunopop: saihane         : で、新着制限をしていた理由は、もう消滅したんじゃないの、という話なのですが、これが合意事項なら、もう制限する理由は無くなることになります。
[Sat Dec 12 22:34:47 2009] #mikunopop: kinuko          : ミクノ以外の生放送はどうしてるんでしょうか？
[Sat Dec 12 22:36:02 2009] #mikunopop: s_o_l           : あいまいですよね。こんなまじめに議論してないでしょう。
[Sat Dec 12 22:37:54 2009] #mikunopop: saihane         : でも、ミクノの制限はぼか生のものをそのまま転用したんですよね？　元の議論はぼか生ないしその前の放送（ミクライブ？）でなされたと聞いています。
[Sat Dec 12 22:39:14 2009] #mikunopop: A_ster          : 発端はボカ生・ミクライブに倣ってですね そこからミクノ総合スレの議論へ
[Sat Dec 12 22:39:20 2009] #mikunopop: kinuko          : もし、他コミュが先に撤廃してたら、現状確認できるかと思い聞いてみました・・・私たちまじめなんですねｗ
[Sat Dec 12 22:40:24 2009] #mikunopop: A_ster          : ぼか生でも話し合ってたみたいですけどね 詳しくは知りませんｗ
[Sat Dec 12 22:40:46 2009] #mikunopop: mashita         : http://jbbs.livedoor.jp/bbs/read.cgi/internet/2353/1231387268/
[Sat Dec 12 22:40:54 2009] #mikunopop: mashita         : これですかね？
[Sat Dec 12 22:40:58 2009] #mikunopop: saihane         : 現状、両コミュで同時に放送してる主いませんもんね～
[Sat Dec 12 22:42:05 2009] #mikunopop: saihane         : 真下さん３行でまとめて・・ｗ
[Sat Dec 12 22:42:30 2009] #mikunopop: mashita         : 当時も皆悩んでた。
[Sat Dec 12 22:42:43 2009] #mikunopop: mashita         : その結果
[Sat Dec 12 22:42:47 2009] #mikunopop: mashita         : 放置？
[Sat Dec 12 22:42:59 2009] #mikunopop: kinuko          : ひどいｗ
[Sat Dec 12 22:43:18 2009] #mikunopop: Q-iron          : ボカ生　ミクライブ両方で配信してる人は　kotacさん
[Sat Dec 12 22:43:34 2009] #mikunopop: A_ster          : 世界の新着が始まってからの議論が全くないｗ スカイプとかで生主同士でやってるのかもしれませんが
[Sat Dec 12 22:44:16 2009] #mikunopop: kinuko          : 現状の制限撤廃→単に撤廃？新たな制限を設ける？
[Sat Dec 12 22:44:35 2009] #mikunopop: s_o_l           : いまちらっとメグポコミュ見たら「「世界の新着動画」使用を許可していない動画は、当番組でも放送できません。」ってことらしいですね。
[Sat Dec 12 22:45:05 2009] #mikunopop: boro_           : それはシステム的に再生できないのでｗ
[Sat Dec 12 22:45:18 2009] #mikunopop: Q-iron          : 世界の新着拒否＝生放送拒否です
[Sat Dec 12 22:45:20 2009] #mikunopop: s_o_l           : なんだｗすみません…
[Sat Dec 12 22:45:24 2009] #mikunopop: mashita         : 物理的な問題というか・・・
[Sat Dec 12 22:45:28 2009] #mikunopop: kinuko          : そうですねｗ
[Sat Dec 12 22:45:41 2009] #mikunopop: Q-iron          : 世界の新着は生放送のシステムの上に乗っかっています
[Sat Dec 12 22:46:52 2009] #mikunopop: Q-iron          : 世界の新着に採用されることを拒否する＝生放送で紹介できないっってことです
[Sat Dec 12 22:47:07 2009] #mikunopop: mashita         : この前のスナック初音で世界の新着の影響をモロに喰らった作品ありましたよね？あの作品って荒れてましたっけ？
[Sat Dec 12 22:47:12 2009] #mikunopop: s_o_l           : そう、個人的に言われたのは、アップ時に生放送拒否しておいて、世界の新着の期間が明けたら、許可すればいいって言われましたね。
[Sat Dec 12 22:47:22 2009] #mikunopop: Q-iron          : 荒れないですね
[Sat Dec 12 22:47:27 2009] #mikunopop: Q-iron          : ジャンル的にマイナー
[Sat Dec 12 22:47:42 2009] #mikunopop: mashita         : 再生数が伸びただけでしたっけ？
[Sat Dec 12 22:47:43 2009] #mikunopop: Q-iron          : ニコ視聴者層の１０代には理解不能なため
[Sat Dec 12 22:48:11 2009] #mikunopop: Q-iron          : おっホイ曲は新着採用はメリットだけかな
[Sat Dec 12 22:48:25 2009] #mikunopop: mashita         : w
[Sat Dec 12 22:48:32 2009] #mikunopop: A_ster          : SOLさんニコ動のプレーヤーで世界の新着のコメ表示しない設定にしておくと気が楽ですよｗ
[Sat Dec 12 22:48:36 2009] #mikunopop: Q-iron          : 再生数伸びることがめったないジャンルなので
[Sat Dec 12 22:48:51 2009] #mikunopop: Q-iron          : 有り難い　という立場のP多いでしょうね
[Sat Dec 12 22:50:02 2009] #mikunopop: s_o_l           : いや別にいんですよ。しょっぱいのは自分でもわかってて、実験用にこっそりアップしたのが世界の新着にかかっちゃっただけで、いい勉強になったと思ってますから…
[Sat Dec 12 22:51:18 2009] #mikunopop: s_o_l           : まあ、それがきっかけで、こういった問題提起をしたんですけどねｗ
[Sat Dec 12 22:52:12 2009] #mikunopop: saihane         : では、「歴史的には」今や制限をする理由はない、ということでいいんでしょうか？
[Sat Dec 12 22:52:30 2009] #mikunopop: A_ster          : 自分はコメ非表示にしてるから世界の新着は無かったことになってますｗ
[Sat Dec 12 22:52:53 2009] #mikunopop: Q-iron          : 自分もハナから非表示ですｗ
[Sat Dec 12 22:52:54 2009] #mikunopop: boro_           : それは同じくｗ
[Sat Dec 12 22:53:08 2009] #mikunopop: boro_           : 制限撤廃に同意ノ
[Sat Dec 12 22:53:08 2009] #mikunopop: saihane         : 動画上げるひとにとっては目の上のタンコブ・・現在進行形で大問題なのですよ
[Sat Dec 12 22:53:17 2009] #mikunopop: Q-iron          : 祭りのコメと　聞きに来てくれた人のコメは同列にはできません
[Sat Dec 12 22:53:25 2009] #mikunopop: saihane         : ちょっとまってください、まだ撤廃うんぬんははやいです
[Sat Dec 12 22:53:25 2009] #mikunopop: kinuko          : 投稿者はコメント削除してもコメント残るから嫌がるよねぇ・・・
[Sat Dec 12 22:54:05 2009] #mikunopop: s_o_l           : 地味なbeatmaking動画が2000再生近くまで行ってるんだし、こういうのをこつこつ作ってる人がいるってのを知らしめたんでまあいいかなと。
[Sat Dec 12 22:54:43 2009] #mikunopop: kinuko          : その心意気に惚れた///
[Sat Dec 12 22:55:01 2009] #mikunopop: saihane         : 理由があって制限を課していたわけで、理由がなくなったから制限もなくなる。これに合意がなければ、撤廃について議論を進めることができません＞＜
[Sat Dec 12 22:55:07 2009] #mikunopop: A_ster          : 「歴史的には」なくなったと思いますね
[Sat Dec 12 22:55:23 2009] #mikunopop: s_o_l           : ただ、それはぼくがＰと生主両方やってるから言えることだし、年齢的にもガキに荒らされたからどうってことないけど、若い制作者はどう思うかなと。
[Sat Dec 12 22:55:33 2009] #mikunopop: A_ster          : なくなったというより限りなく0に近く薄れた？
[Sat Dec 12 22:56:26 2009] #mikunopop: boro_           : まぁ普段の放送で流すのとほぼ同レベルまでですね。
[Sat Dec 12 22:56:58 2009] #mikunopop: boro_           : ”新着意外を”
[Sat Dec 12 22:57:02 2009] #mikunopop: mashita         : 試験的に…という前提で新曲NG外してみます？
[Sat Dec 12 22:57:22 2009] #mikunopop: sumiwo_         : あ、すいません少ししたら私用で抜けます
[Sat Dec 12 22:57:26 2009] #mikunopop: A_ster          : 「試験的に」はあまりやりたくないｗ
[Sat Dec 12 22:57:27 2009] #mikunopop: boro_           : 何の試験ですかｗ
[Sat Dec 12 22:58:04 2009] #mikunopop: saihane         : もし歴史的にはなくなったと見なせるなら、次は「現状として撤廃すべきか」の議論へ進みたいのですが～
[Sat Dec 12 22:58:07 2009] #mikunopop: mashita         : 新曲規制前と後での新曲リクの数とか・・・
[Sat Dec 12 22:59:05 2009] #mikunopop: k-sk            : 「歴史的には」なくなったと思います、大丈夫です～。
[Sat Dec 12 22:59:07 2009] #mikunopop: boro_           : 撤廃時の運用方法とデメリットが見えないと判断できないでしょうか？
[Sat Dec 12 22:59:20 2009] #mikunopop: boro_           : メリットもかな？
[Sat Dec 12 22:59:22 2009] #mikunopop: saihane         : ええ、まず現状の整理から、でしょうか。
[Sat Dec 12 23:00:17 2009] #mikunopop: saihane         : メリット：リスナーが新曲をすぐ知ることができるようになる
[Sat Dec 12 23:00:42 2009] #mikunopop: saihane         : メリット：Pにとって宣伝しやすい
[Sat Dec 12 23:01:07 2009] #mikunopop: saihane         : メリット：７日以内かどうか考えなくてもいいので放送しやすくなる
[Sat Dec 12 23:01:10 2009] #mikunopop: boro_           : メリット：話題として熱い内に感想を言い合える
[Sat Dec 12 23:01:55 2009] #mikunopop: saihane         : こんなところでしょうか？
[Sat Dec 12 23:02:09 2009] #mikunopop: Q-iron          : 現在、障害により緊急メンテナンス中です。　キター！
[Sat Dec 12 23:02:16 2009] #mikunopop: Q-iron          : 予約枠返せーｗｗｗ
[Sat Dec 12 23:02:24 2009] #mikunopop: sumiwo_away     : ｗｗｗ
[Sat Dec 12 23:02:44 2009] #mikunopop: s_o_l           : デメリット：リクエストが新曲ばかりになる（可能性がある）
[Sat Dec 12 23:02:49 2009] #mikunopop: boro_           : デメリットは運用方法によって変わりますね。
[Sat Dec 12 23:02:55 2009] #mikunopop: saihane         : デメリット：工作員が暗躍する（？）
[Sat Dec 12 23:03:21 2009] #mikunopop: k-sk            : 質問ですー。メリット：Pにとって宣伝しやすい、というのはリスナーがリク投下しやすいという事ですか？
[Sat Dec 12 23:03:33 2009] #mikunopop: saihane         : とりあえず、主による枠ごとの制限は考慮しないでおきましょうか
[Sat Dec 12 23:03:36 2009] #mikunopop: boro_           : デメリット：自貼りの意義が薄れる。⇒Pさんを待つ期待感が薄れる
[Sat Dec 12 23:03:45 2009] #mikunopop: mashita         : (ToT)
[Sat Dec 12 23:03:57 2009] #mikunopop: saihane         : 「自貼り」と宣言しなくても自分の曲を流せる・・これはメリットデメリットの両面あるかも
[Sat Dec 12 23:04:57 2009] #mikunopop: saihane         : >k-sk さん
[Sat Dec 12 23:05:23 2009] #mikunopop: k-sk            : 「自貼りいいですか？」と言わなくなるPさんも出てきそうな気がします～。
[Sat Dec 12 23:05:55 2009] #mikunopop: boro_           : それを想定して両面ですね。
[Sat Dec 12 23:05:59 2009] #mikunopop: saihane         : 自貼り肯定派と否定派で、評価が正反対になりますね。
[Sat Dec 12 23:06:08 2009] #mikunopop: mashita         : むしろ言わずにリクしてリスナーの反応を見る・・・か
[Sat Dec 12 23:06:12 2009] #mikunopop: A_ster          : 自貼り大歓迎です！って書いておけば「自貼りです」って名乗ってくれるんじゃないですかね？ とSOLさんに聞いてみるｗ
[Sat Dec 12 23:06:32 2009] #mikunopop: boro_           : Pにとってはメリットとなる場合が大きいし、リスナーにとってはデメリット？かな
[Sat Dec 12 23:06:44 2009] #mikunopop: kinuko          : なんというご指名ｗ
[Sat Dec 12 23:07:06 2009] #mikunopop: saihane         : 放送の性質にもよりますね。曲紹介をするコミュなので、自貼りは副次的なものだし・・
[Sat Dec 12 23:07:47 2009] #mikunopop: boro_           : 誰からの紹介かというのは問わず曲紹介ですよねｗ
[Sat Dec 12 23:07:58 2009] #mikunopop: saihane         : 個人的には、目立ちたいPは名乗ればいいし逆も然りなので、自由度は上がっていいと思いますが。
[Sat Dec 12 23:09:10 2009] #mikunopop: k-sk            : 宣言した上での自貼りに何か目立ったトラブルみたいなのも無いと思いますし。考えすぎだったですかね。
[Sat Dec 12 23:09:29 2009] #mikunopop: saihane         : デメリット：生拒否になっている可能性が高い、かもしれない（当日とか特に）
[Sat Dec 12 23:09:50 2009] #mikunopop: boro_           : あー。
[Sat Dec 12 23:09:59 2009] #mikunopop: kinuko          : 生拒否動画発見ですね動画制作中です
[Sat Dec 12 23:09:59 2009] #mikunopop: A_ster          : 逆にそれはそれで新着に偏らなくていいかもｗ
[Sat Dec 12 23:10:10 2009] #mikunopop: k-sk            : なるほどｗｗ
[Sat Dec 12 23:11:08 2009] #mikunopop: boro_           : それを理由に投稿後1日とか2日とかした方がすっきりするかも知れませんねｗ中途半端かなｗ
[Sat Dec 12 23:11:27 2009] #mikunopop: higumon0        : 生放送拒否機能ができたので、あまり気にしなくてもいいのかもしれませんね
[Sat Dec 12 23:13:02 2009] #mikunopop: s_o_l           : ちょっと煙草買いに行ってました。すみません。
[Sat Dec 12 23:13:41 2009] #mikunopop: s_o_l           : 僕は自貼りしたら名乗りますよｗ
[Sat Dec 12 23:13:52 2009] #mikunopop: A_ster          : ですよねーｗ
[Sat Dec 12 23:13:57 2009] #mikunopop: sumiwo_away     : 気になってるんですけど自セレで新曲ってどうなんでしょう
[Sat Dec 12 23:14:34 2009] #mikunopop: A_ster          : 主セレはそれこそ主の判断でしょうね
[Sat Dec 12 23:14:56 2009] #mikunopop: boro_           : 自セレというのは自分の曲をという事ですか？
[Sat Dec 12 23:15:10 2009] #mikunopop: mashita         : 主セレですね
